id,position,gp,team,fgm,fga,fg%,ftm,fta,ft%,threepa,threepm,ppg,orpg,drpg,rpg,apg,spg,bpg,topg,ddpg,tdpg
J. Ingles Uta,"SG,SF",82,UTA,4.2,9.4,.449,1.1,1.5,.738,5.5,2.3,11.8,0.4,3.6,4.0,5.0,1.2,0.2,1.9,0.0,0.0
C. LeVert Bkn,"SG,SF",70,BKN,5.8,12.9,.446,2.6,3.5,.738,4.1,1.4,15.5,0.9,3.1,4.0,4.3,1.1,0.4,1.8,0.0,0.0
R. Rubio Pho,PG,74,PHO,4.1,10.2,.400,3.1,3.6,.875,4.0,1.3,12.6,0.5,3.3,3.8,6.8,1.4,0.2,2.8,0.0,0.0
M. Harrell LAC,"PF,C",80,LAC,6.2,9.9,.629,2.6,4.2,.624,0.3,0.1,15.2,2.2,4.2,6.4,1.6,0.8,1.5,1.6,0.0,0.0
J. Lamb Ind,"SG,SF",77,IND,5.5,12.1,.455,2.7,3.1,.867,4.0,1.4,15.1,0.8,4.4,5.2,2.3,1.1,0.4,1.0,0.0,0.0
J. Teague Min,PG,73,MIN,5.0,11.6,.433,3.3,4.0,.834,3.5,1.3,14.6,0.4,2.3,2.7,8.0,1.2,0.5,2.5,0.0,0.0
J. Allen Bkn,"PF,C",78,BKN,4.5,7.5,.595,2.6,3.5,.739,0.8,0.2,11.7,2.4,6.1,8.6,1.4,0.6,1.5,1.3,0.0,0.0
L. Ball NO,PG,66,NO,4.0,9.5,.414,0.5,1.1,.486,4.9,1.7,10.1,1.1,4.0,5.1,5.9,1.6,0.4,2.1,0.0,0.0
K. Kuzma LAL,"SF,PF",75,LAL,6.4,14.3,.450,2.8,3.6,.772,6.7,2.3,17.9,0.8,4.4,5.3,2.0,0.6,0.6,1.9,0.0,0.0
M. Bridges Pho,"SG,SF",78,PHO,3.3,7.4,.444,1.2,1.5,.815,4.3,1.5,9.4,0.8,2.9,3.7,2.2,1.8,0.5,0.9,0.0,0.0
D. Dedmon Sac,C,61,SAC,3.9,7.7,.503,1.3,1.6,.800,3.2,1.2,10.2,1.5,5.5,7.0,1.3,1.0,1.0,1.2,0.0,0.0
M. Smart Bos,"PG,SG",75,BOS,3.1,7.7,.402,2.0,2.6,.772,4.7,1.6,9.8,0.9,2.9,3.8,4.3,1.9,0.4,1.7,0.0,0.0
D. Wright Dal,"PG,SG",68,DAL,4.1,9.2,.451,1.9,2.4,.807,2.8,0.9,11.1,1.1,3.1,4.2,4.1,1.4,0.5,1.2,0.0,0.0
L. Williams LAC,"PG,SG",78,LAC,5.1,12.3,.417,4.9,5.5,.886,5.0,1.7,16.9,0.4,2.0,2.5,4.1,0.8,0.2,1.8,0.0,0.0
T. Warren Ind,"SF,PF",67,IND,6.1,12.5,.487,2.1,2.6,.790,3.8,1.5,15.8,0.7,3.0,3.7,1.4,1.1,0.6,1.1,0.0,0.0
N. Batum Cha,"SG,SF",70,CHA,3.5,8.2,.424,1.0,1.2,.849,4.3,1.6,9.6,1.0,4.4,5.4,4.4,1.0,0.6,1.6,0.0,0.0
G. Harris Den,"SG,SF",65,DEN,5.5,12.0,.460,2.3,2.7,.831,4.6,1.6,15.0,0.8,2.2,3.0,2.4,1.3,0.4,1.3,0.0,0.0
D. White SA,"PG,SG",76,SA,4.3,8.7,.491,1.5,2.0,.753,2.3,0.8,10.8,0.6,3.4,4.0,4.2,1.2,0.6,1.6,0.0,0.0
T. Ross Orl,"SG,SF",74,ORL,5.7,13.5,.421,1.6,1.9,.848,7.5,2.7,15.7,0.4,3.3,3.6,1.3,0.9,0.4,1.2,0.0,0.0
S. Ibaka Tor,"PF,C",76,TOR,5.7,11.4,.503,1.8,2.3,.782,2.2,0.7,14.0,1.8,5.3,7.1,1.0,0.3,1.2,1.3,0.0,0.0
T. Satoransky Chi,"PG,SG",76,CHI,3.5,7.0,.497,1.7,2.1,.794,2.1,0.9,9.5,1.1,2.6,3.7,5.5,1.1,0.2,1.6,0.0,0.0
J. Winslow Mia,PF,70,MIA,5.0,11.8,.427,1.4,2.2,.636,4.2,1.6,13.1,1.0,4.5,5.5,3.8,1.4,0.3,2.2,0.0,0.0
A. Wiggins Min,"SG,SF",80,MIN,7.1,16.8,.423,2.9,4.1,.709,5.3,1.8,18.9,1.1,3.7,4.9,2.4,1.0,0.7,2.0,0.0,0.0
B. Bogdanovic Uta,"SG,SF",80,UTA,5.6,11.8,.474,2.9,3.4,.844,5.0,2.0,16.1,0.4,3.4,3.7,1.6,0.8,0.0,1.3,0.0,0.0
J. Redick NO,SG,72,NO,5.4,12.2,.443,2.4,2.7,.902,7.6,3.1,16.3,0.2,2.0,2.3,2.2,0.4,0.2,1.2,0.0,0.0
T. Young Chi,"SF,PF",79,CHI,4.5,8.8,.506,0.9,1.4,.625,1.5,0.5,10.4,2.0,3.5,5.5,2.2,1.7,0.4,1.3,0.0,0.0
B. Clarke Mem,PF,78,MEM,4.2,7.7,.554,1.9,2.9,.658,0.9,0.3,10.7,1.6,5.2,6.8,1.6,0.7,1.3,1.1,0.0,0.0
P. Beverley LAC,"PG,SG",75,LAC,2.7,6.6,.406,1.4,1.7,.805,3.9,1.5,8.3,1.1,4.3,5.4,4.2,0.9,0.6,1.2,0.0,0.0
K. Huerter Atl,SG,77,ATL,4.2,9.8,.427,0.6,0.8,.754,5.5,2.2,11.2,0.8,2.7,3.6,3.1,0.9,0.4,1.5,0.0,0.0
D. Jordan Bkn,C,74,BKN,3.4,5.1,.668,2.0,3.1,.661,0.0,0.0,8.8,2.6,8.0,10.6,1.8,0.6,0.9,1.8,0.0,0.0
E. Kanter Bos,C,73,BOS,6.5,11.7,.553,2.9,3.7,.798,0.6,0.2,16.0,4.4,6.9,11.3,2.0,0.5,0.5,2.0,0.0,0.0
B. Bogdanovic Sac,"SG,SF",77,SAC,5.4,12.4,.435,2.2,2.6,.839,5.1,1.9,14.9,0.5,2.8,3.3,3.7,1.0,0.2,1.6,0.0,0.0
P. Millsap Den,"PF,C",64,DEN,4.2,9.0,.470,2.4,3.4,.710,2.2,0.8,11.7,1.9,4.4,6.4,1.9,1.1,0.7,1.3,0.0,0.0
J. Brown Bos,"SG,SF",76,BOS,5.5,12.0,.459,2.5,3.5,.699,4.4,1.6,15.1,1.0,3.7,4.6,1.5,1.0,0.5,1.5,0.0,0.0
B. Ingram NO,"SG,SF",68,NO,5.8,12.0,.483,3.6,5.2,.696,2.0,0.7,15.9,0.7,4.0,4.7,2.7,0.5,0.7,2.2,0.0,0.0
D. Powell Dal,"PF,C",80,DAL,4.4,7.5,.579,3.0,3.9,.749,2.0,0.6,12.3,2.2,4.2,6.4,1.7,0.7,0.8,1.0,0.0,0.0
S. Dinwiddie Bkn,PG,74,BKN,5.1,11.9,.431,4.0,4.9,.819,5.3,1.8,16.1,0.4,2.0,2.4,5.0,0.6,0.2,2.0,0.0,0.0
R. Gay SA,"SF,PF",65,SA,4.9,10.3,.474,1.8,2.2,.800,2.7,1.0,12.6,0.8,5.4,6.2,2.4,0.7,0.5,1.5,0.0,0.0
E. Fournier Orl,"SG,SF",75,ORL,5.9,13.0,.450,1.7,2.1,.826,5.5,2.0,15.4,0.5,2.7,3.1,3.3,0.9,0.1,1.9,0.0,0.0
J. Harris Bkn,"SG,SF",77,BKN,5.0,10.2,.487,1.4,1.7,.841,6.0,2.7,14.1,0.7,3.1,3.8,2.3,0.5,0.2,1.5,0.0,0.0
K. Olynyk Mia,"PF,C",79,MIA,3.8,8.2,.471,2.1,2.7,.801,4.6,1.7,11.5,1.0,4.4,5.4,2.5,0.8,0.5,1.6,0.0,0.0
R. Barrett NY,SF,81,NY,6.3,15.6,.401,2.8,4.1,.691,5.0,1.6,17.0,1.4,4.6,6.0,4.4,0.7,0.2,3.1,0.0,0.0
E. Gordon Hou,SG,72,HOU,5.7,13.7,.414,1.8,2.3,.811,8.7,3.3,16.5,0.2,2.0,2.2,2.2,0.6,0.4,1.5,0.0,0.0
C. Zeller Cha,"PF,C",64,CHA,4.2,7.9,.533,2.4,3.2,.759,0.6,0.2,11.0,2.5,5.0,7.5,2.3,0.9,1.0,1.4,0.0,0.0
H. Barnes Sac,"SF,PF",79,SAC,5.1,11.8,.432,3.0,3.6,.833,5.1,1.9,15.1,0.8,4.4,5.2,1.5,0.7,0.2,1.3,0.0,0.0
C. Sexton Cle,PG,80,CLE,6.0,13.9,.434,2.7,3.2,.843,4.5,1.7,16.4,0.7,2.2,2.9,2.7,0.8,0.1,2.5,0.0,0.0
A. Len Atl,"PF,C",75,ATL,5.4,11.3,.482,2.6,3.7,.694,3.5,1.2,14.7,2.9,4.8,7.7,1.5,0.5,1.4,1.7,0.0,0.0
R. Hachimura Was,PF,76,WAS,4.8,9.3,.521,2.1,2.9,.719,1.4,0.5,12.2,1.3,5.0,6.3,1.3,0.6,0.6,1.7,0.0,0.0
D. Green LAL,"SG,SF",73,LAL,3.5,8.1,.433,0.5,0.6,.829,5.6,2.4,9.9,0.8,3.3,4.1,1.5,0.9,0.7,1.0,0.0,0.0
M. Kleber Dal,PF,73,DAL,2.7,6.1,.450,0.8,1.1,.762,3.6,1.2,7.5,1.3,3.5,4.9,1.0,0.5,1.2,0.8,0.0,0.0
Z. Collins Por,"PF,C",80,POR,3.9,8.0,.484,1.8,2.3,.761,2.7,0.9,10.4,2.2,4.3,6.4,1.3,0.5,1.2,1.4,0.0,0.0
D. Augustin Orl,PG,78,ORL,3.5,7.9,.448,2.1,2.4,.874,3.6,1.5,10.7,0.5,1.9,2.4,5.0,0.6,0.1,1.5,0.0,0.0
T. Herro Mia,SG,77,MIA,4.0,9.3,.424,2.0,2.1,.951,4.8,1.7,11.6,0.4,3.1,3.5,1.9,0.6,0.1,1.3,0.0,0.0
D. Rose Det,PG,62,DET,6.2,13.5,.457,2.5,2.9,.870,2.6,0.9,15.7,0.6,1.9,2.5,3.4,0.5,0.2,1.5,0.0,0.0
W. Barton Den,"SG,SF",74,DEN,4.7,10.9,.433,1.4,1.8,.792,4.5,1.6,12.5,0.8,4.0,4.7,2.9,0.7,0.5,1.5,0.0,0.0
J. McGee LAL,C,71,LAL,4.3,6.7,.639,1.0,1.6,.616,0.1,0.0,9.5,2.0,3.9,5.9,0.5,0.5,1.5,1.1,0.0,0.0
W. Cauley-Stein GS,"PF,C",77,GS,4.8,8.5,.561,1.7,2.8,.590,0.3,0.1,11.3,1.7,4.6,6.3,2.1,1.1,0.6,0.9,0.0,0.0
D. Bertans Was,"PF,C",78,WAS,3.4,7.6,.447,0.9,1.0,.861,5.7,2.4,10.1,0.4,4.1,4.4,1.7,0.6,0.6,0.7,0.0,0.0
K. Anderson Mem,"SG,SF",69,MEM,3.2,6.1,.527,0.8,1.4,.577,0.8,0.2,7.4,1.1,4.5,5.5,3.2,1.2,0.8,1.3,0.0,0.0
K. Bazemore Por,"SG,SF",72,POR,4.6,11.3,.408,2.2,2.9,.742,4.8,1.7,13.0,0.6,3.7,4.3,2.5,1.5,0.7,2.0,0.0,0.0
O. Anunoby Tor,"SF,PF",75,TOR,3.8,8.1,.473,1.0,1.5,.632,4.1,1.4,10.1,1.2,3.0,4.2,1.2,1.0,0.4,1.1,0.0,0.0
M. Williams Cha,"SF,PF",77,CHA,3.5,7.9,.436,0.9,1.1,.815,4.7,1.8,9.5,0.9,4.0,5.0,1.1,0.9,0.7,0.6,0.0,0.0
P. Tucker Hou,"SF,PF",81,HOU,2.5,6.1,.401,0.5,0.7,.714,4.5,1.7,7.1,1.4,4.2,5.6,1.1,1.5,0.5,0.7,0.0,0.0
