id,position,gp,team,fgm,fga,fg%,ftm,fta,ft%,threepa,threepm,ppg,orpg,drpg,rpg,apg,spg,bpg,topg,ddpg,tdpg
T. Maker Det,"PF,C",64,DET,1.7,4.2,.407,0.9,1.3,.667,2.4,0.8,5.0,0.6,2.5,3.2,0.7,0.3,0.8,0.5,0.0,0.0
Q. Cook LAL,PG,70,LAL,3.4,7.1,.476,0.3,0.4,.828,3.2,1.3,8.4,0.4,2.2,2.5,1.9,0.3,0.0,0.8,0.0,0.0
J. Grant Orl,"PG,SG",60,ORL,1.5,3.7,.418,0.4,0.7,.650,1.8,0.7,4.2,0.3,1.3,1.6,2.6,0.7,0.1,0.8,0.0,0.0
J. Brunson Dal,PG,76,DAL,2.9,6.5,.456,1.1,1.4,.827,2.1,0.7,7.8,0.3,1.6,1.9,2.6,0.4,0.0,1.0,0.0,0.0
L. Kornet Chi,"PF,C",40,CHI,1.8,4.8,.382,0.6,0.8,.806,3.2,1.1,5.4,0.5,1.8,2.3,0.9,0.5,0.7,0.4,0.0,0.0
D. Harris Dal,"PG,SG",51,DAL,1.8,4.5,.394,1.4,1.7,.798,2.6,0.9,5.8,0.2,1.3,1.5,1.6,0.5,0.2,0.7,0.0,0.0
D. Cunningham SA,"SF,PF",40,SA,0.9,1.9,.462,0.2,0.2,.778,0.8,0.3,2.3,0.6,1.7,2.3,0.6,0.3,0.1,0.3,0.0,0.0
T. Frazier Det,"PG,SG",59,DET,2.0,4.4,.444,0.7,0.9,.759,1.7,0.6,5.3,0.7,2.2,2.8,4.2,0.5,0.1,1.3,0.0,0.0
Z. Pachulia Det,C,68,DET,1.2,2.8,.440,1.4,1.8,.782,0.1,0.0,3.9,1.5,2.4,3.9,1.3,0.5,0.2,0.8,0.0,0.0
F. Kaminsky Pho,"PF,C",72,PHO,3.3,7.3,.447,2.0,2.6,.767,3.4,1.3,9.8,1.0,3.0,4.0,1.5,0.3,0.3,1.0,0.0,0.0
D. Nwaba Bkn,"SG,SF",58,BKN,2.1,4.3,.494,0.9,1.4,.675,1.2,0.4,5.6,0.7,2.0,2.7,0.9,0.6,0.3,0.5,0.0,0.0
R. McGruder LAC,"SG,SF",70,LAC,2.0,4.8,.424,0.5,0.8,.698,2.4,0.9,5.5,0.6,1.9,2.5,1.2,0.4,0.1,0.7,0.0,0.0
B. Biyombo Cha,"PF,C",54,CHA,1.6,2.9,.571,1.1,1.7,.637,0.0,0.0,4.4,1.5,3.1,4.6,0.6,0.2,0.8,0.6,0.0,0.0
K. Williams NO,SF,38,NO,2.0,4.7,.424,0.4,0.6,.727,2.3,0.8,5.2,0.7,2.2,2.9,1.1,0.6,0.3,0.5,0.0,0.0
W. Iwundu Orl,"SG,SF",68,ORL,1.7,4.0,.412,1.2,1.5,.816,1.2,0.4,5.0,0.5,2.2,2.7,1.1,0.4,0.3,0.6,0.0,0.0
S. Brown Mil,"SG,SF",64,MIL,2.6,5.7,.460,0.6,0.8,.735,2.7,1.0,6.8,0.5,2.8,3.3,1.5,0.5,0.1,0.8,0.0,0.0
T. Sefolosha Hou,"SG,SF",50,HOU,1.4,3.0,.477,0.3,0.4,.636,1.6,0.7,3.8,0.2,2.3,2.5,0.5,0.9,0.1,0.5,0.0,0.0
J. Dudley LAL,"SF,PF",70,LAL,2.0,4.6,.426,0.5,0.7,.692,3.2,1.2,5.7,0.5,1.9,2.5,1.3,0.6,0.3,0.7,0.0,0.0
T. Daniels LAL,"PG,SG",64,LAL,1.9,4.5,.416,0.3,0.4,.846,3.5,1.4,5.5,0.2,1.1,1.3,0.5,0.5,0.1,0.5,0.0,0.0
J. Barea Dal,"PG,SG",45,DAL,2.4,5.9,.415,0.9,1.2,.759,2.0,0.6,6.4,0.2,1.2,1.4,3.2,0.3,0.0,1.1,0.0,0.0
P. Gasol Por,"PF,C",30,POR,1.1,2.3,.464,0.7,1.0,.759,0.3,0.1,3.0,0.5,2.8,3.3,1.3,0.1,0.4,0.4,0.0,0.0
C. Lee Dal,"SG,SF",34,DAL,1.6,3.8,.411,0.4,0.6,.667,1.6,0.5,4.0,0.3,1.3,1.6,1.1,0.6,0.1,0.4,0.0,0.0
A. Trier NY,SG,70,NY,2.9,6.4,.458,2.3,2.8,.835,1.6,0.6,8.8,0.4,2.1,2.4,1.5,0.3,0.2,1.4,0.0,0.0
K. Birch Orl,"PF,C",50,ORL,1.8,3.0,.603,1.2,1.7,.699,0.0,0.0,4.8,1.6,2.2,3.8,0.8,0.4,0.6,0.4,0.0,0.0
J. Simmons Was,"SG,SF",48,WAS,1.8,4.4,.410,0.9,1.2,.763,1.3,0.4,5.0,0.3,1.2,1.6,1.6,0.4,0.2,0.9,0.0,0.0
D. Bender Mil,"PF,C",42,MIL,1.0,2.3,.443,0.4,0.6,.667,1.2,0.4,2.9,0.4,1.7,2.1,0.7,0.2,0.3,0.4,0.0,0.0
W. Hernangomez Cha,C,60,CHA,3.2,6.1,.520,2.0,2.9,.703,0.9,0.3,8.8,2.4,3.9,6.3,1.2,0.3,0.4,1.2,0.0,0.0
A. Johnson Phi,"PF,C",51,PHI,1.5,3.1,.503,0.6,0.8,.756,0.8,0.2,3.9,0.9,2.0,2.9,1.2,0.3,0.3,0.9,0.0,0.0
W. Selden Jr. Chi,SG,37,CHI,1.8,4.3,.425,0.6,0.8,.742,1.6,0.5,4.8,0.3,1.3,1.6,1.0,0.3,0.1,0.7,0.0,0.0
B. Caboclo Mem,"SF,PF",50,MEM,1.7,4.4,.399,0.8,1.0,.833,2.5,0.9,5.2,0.8,2.2,3.1,1.0,0.3,0.6,0.7,0.0,0.0
T. Chandler Hou,C,55,HOU,1.1,1.8,.616,0.9,1.6,.586,0.0,0.0,3.1,1.7,3.9,5.6,0.7,0.4,0.4,0.8,0.0,0.0
I. Rabb Mem,PF,49,MEM,2.4,4.3,.547,1.0,1.4,.710,0.3,0.1,5.8,1.4,2.8,4.2,1.1,0.3,0.3,0.7,0.0,0.0
O. Spellman GS,PF,50,GS,1.6,3.8,.423,0.5,0.7,.743,2.0,0.7,4.4,1.1,1.9,3.0,0.7,0.4,0.4,0.5,0.0,0.0
J. Noah Mem,"PF,C",35,MEM,1.9,4.0,.482,1.5,2.1,.736,0.0,0.0,5.4,1.1,3.4,4.5,1.7,0.4,0.6,0.9,0.0,0.0
C. Brewer Sac,"SG,SF",31,SAC,1.7,4.0,.431,1.0,1.4,.721,1.4,0.5,4.9,0.8,1.6,2.5,1.3,1.0,0.2,0.6,0.0,0.0
J. Henson Cle,"PF,C",14,CLE,2.2,4.8,.463,0.4,0.7,.600,2.2,0.8,5.6,1.1,3.9,5.1,1.0,0.5,0.8,0.9,0.0,0.0
C. Payne Tor,PG,34,TOR,2.1,4.9,.422,0.7,0.9,.774,1.9,0.6,5.4,0.3,1.3,1.6,2.3,0.6,0.2,1.0,0.0,0.0
S. Mejri Dal,C,36,DAL,1.5,3.1,.491,0.6,0.9,.625,0.9,0.3,3.9,1.0,2.6,3.6,1.0,0.3,0.7,0.6,0.0,0.0
F. Ntilikina NY,"PG,SG",43,NY,2.2,6.6,.337,0.5,0.7,.767,2.7,0.8,5.7,0.3,1.7,2.0,2.8,0.7,0.3,1.3,0.0,0.0
J. Bolden Phi,PF,70,PHI,2.0,4.2,.491,0.4,0.7,.531,2.5,0.9,5.3,1.2,3.0,4.2,1.0,0.4,1.0,0.9,0.0,0.0
O. Casspi Mem,"SF,PF",30,MEM,1.8,3.5,.510,0.9,1.2,.703,0.9,0.3,4.7,0.4,2.1,2.5,0.6,0.4,0.2,0.5,0.0,0.0
I. Mahinmi Was,C,34,WAS,1.4,3.1,.452,1.2,1.8,.689,0.5,0.1,4.1,1.4,2.4,3.8,0.7,0.7,0.5,0.6,0.0,0.0
M. Beasley Det,"SF,PF",41,DET,3.2,6.5,.498,1.2,1.7,.735,0.7,0.2,8.0,0.6,2.0,2.6,1.1,0.4,0.4,1.1,0.0,0.0
F. Jackson NO,PG,59,NO,2.4,5.4,.447,0.7,0.9,.769,2.1,0.7,6.2,0.3,1.3,1.6,0.8,0.3,0.0,0.6,0.0,0.0
D. Wilson Mil,PF,66,MIL,2.1,5.0,.415,0.5,0.9,.548,2.5,0.9,5.6,0.9,3.5,4.4,1.0,0.4,0.4,0.6,0.0,0.0
F. Korkmaz Phi,SG,48,PHI,2.0,5.1,.400,0.8,0.9,.818,3.0,1.0,5.8,0.3,1.9,2.2,1.1,0.6,0.0,0.5,0.0,0.0
R. Felton OKC,"PG,SG",33,OKC,1.7,4.1,.407,0.4,0.4,.923,1.8,0.6,4.3,0.1,0.9,1.0,1.6,0.3,0.2,0.4,0.0,0.0
G. Clark Hou,"SF,PF",51,HOU,1.0,3.0,.331,0.1,0.1,1.000,2.7,0.8,2.9,0.5,1.8,2.3,0.4,0.4,0.5,0.1,0.0,0.0
M. Dellavedova Cle,"PG,SG",58,CLE,1.8,4.6,.392,0.8,1.0,.810,2.5,0.9,5.3,0.1,1.4,1.5,3.4,0.3,0.0,1.3,0.0,0.0
N. Hilario Hou,"PF,C",42,HOU,1.4,2.8,.517,0.7,1.1,.660,0.1,0.0,3.6,0.8,2.1,2.9,0.6,0.4,0.4,0.3,0.0,0.0
C. Felicio Chi,C,60,CHI,1.6,3.0,.531,0.8,1.2,.685,0.1,0.0,4.0,1.3,2.3,3.6,0.6,0.2,0.1,0.6,0.0,0.0
T. Leaf Ind,PF,58,IND,1.7,3.2,.541,0.3,0.5,.613,0.5,0.1,3.9,0.7,1.4,2.2,0.4,0.2,0.3,0.2,0.0,0.0
J. Martin Cle,"PF,C",42,CLE,1.0,2.5,.413,0.2,0.3,.818,1.4,0.5,2.7,0.3,1.5,1.7,0.4,0.1,0.2,0.3,0.0,0.0
L. Thomas Bkn,"SG,SF",46,BKN,1.7,4.3,.396,0.6,0.8,.750,1.7,0.5,4.5,0.5,2.1,2.5,0.6,0.4,0.2,0.5,0.0,0.0
E. Okobo Pho,PG,53,PHO,2.2,5.5,.393,0.7,0.9,.787,2.5,0.7,5.7,0.2,1.6,1.8,2.4,0.6,0.1,1.3,0.0,0.0
J. Anderson Was,SF,48,WAS,1.3,3.3,.408,0.5,0.7,.743,1.6,0.5,3.7,0.5,1.2,1.8,0.5,0.5,0.3,0.5,0.0,0.0
T. Graham Min,"SG,SF",35,MIN,1.8,5.5,.335,0.5,0.6,.818,3.7,1.1,5.3,0.7,2.4,3.1,1.0,0.4,0.2,0.5,0.0,0.0
A. Nader OKC,PF,61,OKC,1.5,3.5,.423,0.4,0.6,.750,1.6,0.5,4.0,0.2,1.7,1.9,0.3,0.3,0.2,0.4,0.0,0.0
J. Smith Cle,"SG,SF",35,CLE,2.1,5.5,.389,0.5,0.7,.667,2.8,0.9,5.7,0.0,1.2,1.2,1.4,0.7,0.2,0.7,0.0,0.0
J. Calderon Det,PG,49,DET,0.9,2.4,.375,0.2,0.2,.818,1.2,0.3,2.3,0.2,1.0,1.2,2.3,0.3,0.1,0.7,0.0,0.0
C. Parsons Atl,"SF,PF",35,ATL,2.1,5.3,.398,0.7,0.8,.821,2.5,0.8,5.7,0.1,2.1,2.2,1.4,0.6,0.2,1.0,0.0,0.0
T. Luwawu-Cabarrot Cle,"SG,SF",50,CLE,1.6,4.4,.376,0.6,0.8,.756,2.3,0.7,4.6,0.2,1.7,1.9,0.5,0.4,0.2,0.4,0.0,0.0
S. Hill Mem,"SG,SF",44,MEM,1.5,4.0,.382,0.5,0.7,.719,2.3,0.7,4.3,0.8,2.2,3.0,1.2,0.5,0.2,0.7,0.0,0.0
R. Neto Phi,PG,44,PHI,1.7,3.8,.452,0.6,0.8,.824,1.4,0.5,4.5,0.1,1.3,1.5,2.2,0.3,0.1,0.8,0.0,0.0
G. Niang Uta,PF,59,UTA,1.5,3.1,.475,0.3,0.4,.833,1.8,0.7,4.0,0.2,1.3,1.5,0.6,0.2,0.1,0.4,0.0,0.0
M. Carter-Williams Orl,PG,28,ORL,1.6,4.4,.374,1.1,1.9,.604,1.4,0.4,4.8,0.7,1.8,2.5,2.5,0.7,0.5,0.7,0.0,0.0
C. Hutchison Chi,"SG,SF",44,CHI,2.2,4.8,.459,0.5,0.9,.605,1.1,0.3,5.2,0.7,3.5,4.2,0.8,0.5,0.1,0.6,0.0,0.0
T. Dorsey Mem,PG,34,MEM,1.4,3.4,.405,0.5,0.8,.630,1.7,0.6,3.9,0.4,1.1,1.5,0.7,0.2,0.0,0.4,0.0,0.0
P. McCaw Tor,"SG,SF",29,TOR,0.9,2.2,.413,0.4,0.5,.867,1.0,0.3,2.6,0.2,1.4,1.7,1.0,0.8,0.1,0.6,0.0,0.0
C. Randle Was,PG,15,WAS,1.2,2.9,.409,0.5,0.9,.615,1.5,0.6,3.5,0.1,0.6,0.7,1.3,0.3,0.1,0.6,0.0,0.0
D. Jones Atl,C,24,ATL,2.2,3.1,.716,1.0,1.5,.649,0.0,0.0,5.4,1.3,1.8,3.1,1.2,0.5,1.0,0.7,0.0,0.0
I. Canaan Mil,PG,20,MIL,1.2,3.4,.368,0.4,0.5,.800,2.0,0.7,3.6,0.1,1.1,1.1,1.8,0.3,0.1,0.7,0.0,0.0
J. Bayless Min,"PG,SG",28,MIN,1.9,4.9,.387,0.4,0.6,.706,2.1,0.7,4.9,0.2,1.1,1.3,2.5,0.4,0.0,0.7,0.0,0.0
R. Anderson Hou,"PF,C",25,HOU,0.8,2.8,.304,0.5,0.6,.750,1.6,0.4,2.5,0.7,1.4,2.2,0.8,0.2,0.0,0.6,0.0,0.0
D. Graham Cha,PG,46,CHA,1.6,4.7,.343,0.8,1.0,.761,2.6,0.7,4.7,0.2,1.2,1.4,2.6,0.5,0.0,0.7,0.0,0.0
D. Lee GS,SG,32,GS,1.8,4.0,.441,0.6,0.7,.864,2.1,0.8,4.9,0.2,1.8,2.0,0.4,0.4,0.0,0.3,0.0,0.0
B. Knight Cle,"PG,SG",50,CLE,2.8,7.1,.394,0.7,0.9,.804,3.5,1.2,7.5,0.3,1.3,1.6,1.9,0.6,0.1,0.8,0.0,0.0
D. Exum Uta,"PG,SG",55,UTA,2.9,6.4,.450,1.8,2.3,.808,1.6,0.5,8.1,0.4,1.4,1.8,3.1,0.4,0.1,1.4,0.0,0.0
F. Mason III Mil,PG,38,MIL,1.9,4.4,.420,1.0,1.5,.684,1.7,0.4,5.1,0.2,1.0,1.1,2.2,0.4,0.1,0.9,0.0,0.0
J. Carter Pho,PG,39,PHO,1.4,4.7,.303,0.7,0.8,.812,2.6,0.9,4.4,0.4,1.3,1.7,1.8,0.7,0.3,0.8,0.0,0.0
S. Labissiere Por,"PF,C",22,POR,1.2,2.2,.531,0.4,0.8,.529,0.6,0.3,3.0,0.4,1.5,2.0,0.5,0.2,0.3,0.5,0.0,0.0
K. Allen NY,SG,13,NY,1.6,3.8,.429,1.2,1.5,.789,0.9,0.4,4.8,0.2,1.2,1.4,2.0,0.5,0.1,0.7,0.0,0.0
D. Davis Atl,PF,9,ATL,1.7,2.4,.682,0.7,1.1,.600,0.1,0.0,4.0,1.1,2.9,4.0,0.6,0.3,0.6,0.3,0.0,0.0
A. Blakeney Chi,PG,62,CHI,2.2,5.3,.416,0.7,1.0,.698,1.2,0.5,5.6,0.1,1.3,1.4,0.6,0.2,0.1,0.5,0.0,0.0
K. Bates-Diop Min,SF,30,MIN,2.0,4.7,.423,0.6,0.9,.643,1.7,0.4,5.0,0.5,2.2,2.8,0.6,0.6,0.5,0.5,0.0,0.0
A. Harrison GS,"PG,SG",17,GS,0.9,3.1,.302,1.0,1.1,.944,1.5,0.3,3.2,0.4,0.8,1.2,1.4,0.2,0.1,0.7,0.0,0.0
B. Wanamaker Bos,"PG,SG",36,BOS,1.4,2.9,.476,0.7,0.8,.857,1.1,0.4,3.9,0.1,1.1,1.1,1.6,0.3,0.1,0.5,0.0,0.0
J. Leuer Mil,"PF,C",41,MIL,1.6,2.8,.584,0.6,0.8,.742,0.3,0.0,3.8,0.7,1.7,2.4,0.3,0.3,0.1,0.6,0.0,0.0
S. Ojeleye Bos,"SF,PF",56,BOS,1.2,2.8,.424,0.4,0.7,.615,1.6,0.5,3.3,0.4,1.1,1.5,0.4,0.2,0.1,0.3,0.0,0.0
R. Broekhoff Dal,SF,42,DAL,1.4,3.0,.452,0.4,0.5,.789,2.2,0.9,4.0,0.2,1.3,1.5,0.5,0.1,0.1,0.4,0.0,0.0
J. Meeks Tor,SG,15,TOR,2.3,4.7,.486,0.5,0.5,.875,2.1,0.9,5.9,0.1,1.3,1.5,0.9,0.1,0.1,0.3,0.0,0.0
B. McLemore Hou,SG,19,HOU,1.3,3.4,.391,0.4,0.6,.667,2.2,0.9,3.9,0.2,0.7,0.9,0.2,0.3,0.2,0.3,0.0,0.0
S. Thornwell Cle,SG,64,CLE,0.3,0.8,.347,0.4,0.5,.735,0.2,0.0,1.0,0.1,0.6,0.7,0.3,0.2,0.1,0.3,0.0,0.0
T. Williams Sac,"SG,SF",15,SAC,2.5,6.0,.422,0.5,0.9,.538,2.5,1.0,6.5,0.8,3.1,3.9,0.7,0.7,0.5,0.6,0.0,0.0
J. McRae Was,"PG,SG",68,WAS,3.2,7.2,.449,1.5,1.9,.788,1.9,0.6,8.6,0.4,2.0,2.4,1.7,0.7,0.4,0.8,0.0,0.0
D. DiVincenzo Mil,SG,69,MIL,2.1,5.2,.408,0.4,0.5,.771,3.5,1.1,5.7,0.7,2.0,2.7,1.3,0.6,0.2,0.8,0.0,0.0
N. Young Den,"SG,SF",8,DEN,0.9,2.5,.350,0.0,0.0,.000,2.2,0.9,2.6,0.0,0.2,0.2,0.5,0.0,0.2,0.5,0.0,0.0
T. Wallace Min,"PG,SG",62,MIN,1.5,3.5,.424,0.5,0.9,.526,0.3,0.1,3.5,0.3,1.3,1.6,0.7,0.3,0.1,0.6,0.0,0.0
J. Adams Mil,PG,34,MIL,1.1,3.2,.345,0.2,0.3,.778,2.2,0.7,3.2,0.3,1.4,1.8,1.9,0.4,0.1,0.8,0.0,0.0
C. Wood Det,"PF,C",33,DET,2.2,4.4,.503,1.6,2.1,.754,1.0,0.3,6.3,0.6,2.5,3.1,0.3,0.3,0.4,0.6,0.0,0.0
J. Blossomgame Hou,SF,27,HOU,1.7,3.9,.443,0.4,0.5,.769,1.4,0.4,4.2,1.0,2.7,3.6,0.5,0.3,0.3,0.4,0.0,0.0
H. Ellenson Bkn,PF,13,BKN,1.5,3.5,.413,0.7,0.9,.750,1.5,0.6,4.2,0.2,2.3,2.5,0.6,0.2,0.1,0.3,0.0,0.0
J. Sampson Ind,"SG,SF",11,IND,1.7,3.7,.463,1.2,1.5,.812,1.0,0.3,4.9,0.4,1.9,2.3,0.3,0.3,0.2,0.3,0.0,0.0
H. Diallo OKC,SG,51,OKC,1.5,3.2,.455,0.7,1.2,.610,0.5,0.1,3.7,0.7,1.2,1.9,0.3,0.4,0.2,0.5,0.0,0.0
E. Moreland OKC,PF,5,OKC,0.6,1.4,.429,0.0,0.0,.000,0.2,0.2,1.4,0.8,3.2,4.0,0.8,0.2,0.2,1.0,0.0,0.0
Q. Pondexter SA,"SG,SF",53,SA,0.5,1.1,.500,0.6,0.8,.810,0.3,0.1,1.8,0.2,0.7,0.9,0.5,0.2,0.0,0.2,0.0,0.0
G. Yabusele Bos,"SF,PF",41,BOS,0.9,1.9,.455,0.4,0.5,.682,0.7,0.2,2.3,0.6,0.7,1.3,0.4,0.2,0.2,0.4,0.0,0.0
A. Poythress Atl,SF,21,ATL,1.9,3.9,.494,0.9,1.4,.621,1.1,0.4,5.1,1.4,2.2,3.6,0.8,0.2,0.5,0.6,0.0,0.0
S. Milton Phi,PG,58,PHI,1.9,4.7,.402,0.3,0.4,.727,2.4,0.8,4.8,0.5,1.4,1.9,1.0,0.4,0.4,0.3,0.0,0.0
C. Reynolds Mil,SF,19,MIL,1.7,4.1,.423,0.4,0.5,.889,2.7,1.1,5.0,0.2,1.4,1.6,0.7,0.3,0.1,0.3,0.0,0.0
M. Plumlee Mem,"PF,C",18,MEM,1.8,2.7,.667,0.9,1.7,.533,0.0,0.0,4.4,0.9,1.3,2.2,0.9,0.3,0.2,0.6,0.0,0.0
J. Williams LAL,PF,17,LAL,1.7,3.0,.569,0.8,1.3,.591,0.2,0.0,4.2,1.3,1.4,2.6,0.4,0.2,0.2,0.4,0.0,0.0
I. Hartenstein Hou,PF,28,HOU,0.7,1.5,.488,0.4,0.5,.786,0.2,0.1,1.9,0.8,0.9,1.7,0.5,0.2,0.4,0.5,0.0,0.0
J. Robinson LAC,SG,33,LAC,1.3,3.3,.400,0.2,0.3,.667,1.7,0.5,3.4,0.1,1.2,1.2,0.6,0.3,0.1,0.4,0.0,0.0
I. Briscoe Orl,PG,39,ORL,1.4,3.5,.399,0.4,0.7,.577,0.9,0.3,3.5,0.1,1.8,1.9,2.2,0.3,0.1,0.8,0.0,0.0
J. Washburn GS,SF,15,GS,0.9,2.3,.382,0.1,0.2,.667,1.1,0.3,2.2,0.4,1.5,1.9,0.7,0.6,0.1,0.3,0.0,0.0
J. Jenkins NY,"SG,SF",15,NY,1.2,2.8,.429,0.1,0.5,.143,1.5,0.6,3.1,0.1,0.8,0.9,0.6,0.0,0.1,0.3,0.0,0.0
J. Johnson Det,"SF,PF",55,DET,1.5,3.8,.409,0.3,0.4,.818,1.6,0.5,4.0,0.1,1.9,2.0,1.1,0.3,0.0,0.9,0.0,0.0
S. Mykhailiuk Det,SG,42,DET,1.1,3.3,.329,0.3,0.5,.600,2.1,0.7,3.2,0.2,0.6,0.9,0.9,0.3,0.0,0.5,0.0,0.0
J. Jones Was,SG,6,WAS,2.0,5.5,.364,0.2,0.3,.500,1.7,0.3,4.5,2.7,5.5,8.2,2.2,1.2,0.8,0.8,0.0,0.0
D. Burton OKC,SF,42,OKC,1.6,3.8,.428,0.4,0.5,.696,1.2,0.4,4.0,0.2,1.1,1.3,0.4,0.3,0.4,0.4,0.0,0.0
R. Spalding Hou,PF,14,HOU,1.8,3.4,.532,0.3,0.9,.333,0.2,0.0,3.9,1.1,2.4,3.4,0.4,0.6,0.6,0.6,0.0,0.0
G. Allen Mem,SG,64,MEM,2.8,6.9,.401,1.8,2.3,.780,3.9,1.3,8.7,0.1,0.8,0.9,1.0,0.2,0.2,1.3,0.0,0.0
